id,code,name,levelid,parentid
6BFB1268-CBC4-4D27-A382-0DC516EE5E7A,06BGT14,Ndipta III,90e35999-a64f-4312-ba8f-bc13a1311c75,F54D15BF-AAEB-4DEA-A22B-3FADFBB29865
3A355D07-CE2A-4BF6-8EDC-393F424EA4A0,06BGT14V,Ndipta III,89e35999-a64f-4312-ba8f-bc13a1311f21,6BFB1268-CBC4-4D27-A382-0DC516EE5E7A
C7E565EB-556D-41DE-B72E-BCD9E6C9646B,06BGT15,Projet Route du Noun,90e35999-a64f-4312-ba8f-bc13a1311c75,F54D15BF-AAEB-4DEA-A22B-3FADFBB29865
B0950BD0-6B3E-489D-BCDE-44ADB1F15B86,06BGT15V,Projet Route du Noun,89e35999-a64f-4312-ba8f-bc13a1311f21,C7E565EB-556D-41DE-B72E-BCD9E6C9646B
D48D8EA1-3EFE-40C0-9A16-C65EFFC573EB,06BGT16,Tonga,90e35999-a64f-4312-ba8f-bc13a1311c75,F54D15BF-AAEB-4DEA-A22B-3FADFBB29865
F107684B-CFFE-423D-AC93-02D2A4A0A1A5,06BGT16V,Tonga,89e35999-a64f-4312-ba8f-bc13a1311f21,D48D8EA1-3EFE-40C0-9A16-C65EFFC573EB
BDC5687D-8CA3-451A-86CF-23EDFF490C7C,06BGT17,Toukop,90e35999-a64f-4312-ba8f-bc13a1311c75,F54D15BF-AAEB-4DEA-A22B-3FADFBB29865
139D961C-A6D3-4416-80F2-46A77C8D5338,06BGT17V,Toukop,89e35999-a64f-4312-ba8f-bc13a1311f21,BDC5687D-8CA3-451A-86CF-23EDFF490C7C
D687B42A-A303-4A21-AE5F-32A30DCACF18,06BMD,Bamendjou,93c05138-4550-4461-9e8a-79d5f050c223,F9C5C81D-7139-4AAC-8489-61B299326C79
573CEF22-1C9B-4043-A6B0-63A5364AAF44,06BMD01,Baboum,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
AA82FCFE-3273-4867-8058-EF6C2193CDFC,06BMD01V,Baboum,89e35999-a64f-4312-ba8f-bc13a1311f21,573CEF22-1C9B-4043-A6B0-63A5364AAF44
A005BE42-9902-41AE-A373-FFECDEC7EF41,06BMD02,Bahouan I,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
A52E38CA-91FD-4A2E-AE4A-7BE466BDB37B,06BMD02V,Bahouan I,89e35999-a64f-4312-ba8f-bc13a1311f21,A005BE42-9902-41AE-A373-FFECDEC7EF41
D2D7A90E-55F6-4563-BD21-7B618FD32E6A,06BMD03,Bahouan II,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
571300B8-D956-4332-B905-ED1A1417B5A1,06BMD03V,Bahouan II,89e35999-a64f-4312-ba8f-bc13a1311f21,D2D7A90E-55F6-4563-BD21-7B618FD32E6A
D3490A41-B8EC-47A0-9ECA-24C15A88D8E9,06BMD04,Balatsit,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
590EB005-EDD0-4306-8A24-B77DC4C2B19A,06BMD04V,Balatsit,89e35999-a64f-4312-ba8f-bc13a1311f21,D3490A41-B8EC-47A0-9ECA-24C15A88D8E9
EB2C3FFC-D390-4983-AACA-AB5E29E2F251,06BMD05,Bameka,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
63087140-148E-4B74-B011-880EAA23016D,06BMD05V,Bameka,89e35999-a64f-4312-ba8f-bc13a1311f21,EB2C3FFC-D390-4983-AACA-AB5E29E2F251
C203731C-2042-4EA8-AAC0-7F150005D1B1,06BMD06,Bamendjou,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
4A759B71-0E98-4B20-98BF-655FE9993649,06BMD06V,Bamendjou,89e35999-a64f-4312-ba8f-bc13a1311f21,C203731C-2042-4EA8-AAC0-7F150005D1B1
3E9756C7-56E0-4645-AE99-EDDFCFE95B01,06BMD07,Bangam,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
007783EE-79E2-447B-AACB-918E4BC8EBEE,06BMD07V,Bangam,89e35999-a64f-4312-ba8f-bc13a1311f21,3E9756C7-56E0-4645-AE99-EDDFCFE95B01
BA19A5D1-4F30-4353-926D-5FB142CEEBDA,06BMD08,Batchoum,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
BA9CBFE3-9D3F-4CFB-81E6-510763C1835E,06BMD08V,Batchoum,89e35999-a64f-4312-ba8f-bc13a1311f21,BA19A5D1-4F30-4353-926D-5FB142CEEBDA
FD09D2B7-0502-4E68-BC0D-3AABCD7A6C1F,06BMD09,Ngouang,90e35999-a64f-4312-ba8f-bc13a1311c75,D687B42A-A303-4A21-AE5F-32A30DCACF18
42C6E2A8-01DB-4DCF-A59F-604A23DDD64F,06BMD09V,Ngouang,89e35999-a64f-4312-ba8f-bc13a1311f21,FD09D2B7-0502-4E68-BC0D-3AABCD7A6C1F
30A13588-BE5A-44E7-8A58-5156C7CCE5A0,06DSC,Dschang,93c05138-4550-4461-9e8a-79d5f050c223,F9C5C81D-7139-4AAC-8489-61B299326C79
A67A7D77-4B6A-42AD-A21D-F94B0FEEEF5F,06DSC01,Baleveng,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
85E5885B-C78D-410F-BEF9-845A6570D529,06DSC01V,Baleveng,89e35999-a64f-4312-ba8f-bc13a1311f21,A67A7D77-4B6A-42AD-A21D-F94B0FEEEF5F
74BAAE10-EF3E-464F-814F-B8E71274B1D0,06DSC02,Balevoni,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
CBF81E24-87AA-4E1C-AD14-2DC1FA658B49,06DSC02V,Balevoni,89e35999-a64f-4312-ba8f-bc13a1311f21,74BAAE10-EF3E-464F-814F-B8E71274B1D0
CA255FD7-C49A-405F-8BDA-6BFC57C88D48,06DSC03,Doumbouo,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
6E50F27A-B5A6-4687-B367-4EB4CB7F7E18,06DSC03V,Doumbouo,89e35999-a64f-4312-ba8f-bc13a1311f21,CA255FD7-C49A-405F-8BDA-6BFC57C88D48
85E72527-D5CD-498A-8C56-7D3D953CEB47,06DSC04,Fiala Foreke,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
1E225402-1234-40AC-BCC7-3521B53D38B3,06DSC04V,Fiala Foreke,89e35999-a64f-4312-ba8f-bc13a1311f21,85E72527-D5CD-498A-8C56-7D3D953CEB47
E1BB8786-D9A3-4E13-ABD3-4F985D766695,06DSC05,Fokoue,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
2350C921-48EF-4D13-AE11-D50244BE21A6,06DSC05V,Fokoue,89e35999-a64f-4312-ba8f-bc13a1311f21,E1BB8786-D9A3-4E13-ABD3-4F985D766695
C0FD7DE0-0F6F-459E-BB24-7083386E0276,06DSC06,Fometa,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
32840FC9-D295-4C74-A061-E1B034A96F13,06DSC06V,Fometa,89e35999-a64f-4312-ba8f-bc13a1311f21,C0FD7DE0-0F6F-459E-BB24-7083386E0276
025C5638-A891-4DCE-B42C-1A37F9BC151C,06DSC07,Fomopea,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
19CD0502-7849-477B-99BF-D9FE2C32165F,06DSC07V,Fomopea,89e35999-a64f-4312-ba8f-bc13a1311f21,025C5638-A891-4DCE-B42C-1A37F9BC151C
2CDFD218-09CA-44FD-B62D-91C411C79485,06DSC08,Fonakeukeu,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
1772EB80-CCF0-42E4-9DB0-B194DEDE157F,06DSC08V,Fonakeukeu,89e35999-a64f-4312-ba8f-bc13a1311f21,2CDFD218-09CA-44FD-B62D-91C411C79485
45D84DD9-BB2E-4F30-AEF2-AE3AE71C7019,06DSC09,Fondonera,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
4317C8DE-9CC6-4D94-A22B-21950526C445,06DSC09V,Fondonera,89e35999-a64f-4312-ba8f-bc13a1311f21,45D84DD9-BB2E-4F30-AEF2-AE3AE71C7019
37627250-A7F3-474B-B4C4-EAD9FCFE44F5,06DSC10,Fongo-Ndeng,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
BEE23630-ACBA-488C-8990-7F2DC07662AF,06DSC10V,Fongo-Ndeng,89e35999-a64f-4312-ba8f-bc13a1311f21,37627250-A7F3-474B-B4C4-EAD9FCFE44F5
AFC5DD08-0805-4D3B-970E-ACD2B1FFC1EC,06DSC11,Fontsa Touala,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
7E734D15-BBD3-4260-A8D2-0C714BB542FE,06DSC11V,Fontsa Touala,89e35999-a64f-4312-ba8f-bc13a1311f21,AFC5DD08-0805-4D3B-970E-ACD2B1FFC1EC
2472D9C6-495F-45C2-908C-2E05101991F5,06DSC12,Fotsetsa,90e35999-a64f-4312-ba8f-bc13a1311c75,30A13588-BE5A-44E7-8A58-5156C7CCE5A0
2895F4CB-3DF1-4C90-B16A-E39A49076A6D,06DSC12V,Fotsetsa,89e35999-a64f-4312-ba8f-bc13a1311f21,2472D9C6-495F-45C2-908C-2E05101991F5
